X,Y,PlaceName,AddressFull,AddressCity,AddressState,AddressZip,PlaceWeb
-112.0496356,33.76386662,Apache Wash Trailhead,1600 E SONORAN DESERT DR,PHOENIX,AZ,85085,https://www.phoenix.gov/parks/trails/locations/sonoran-preserve
-112.0900262,33.47665418,Encanto Park Clubhouse,2605 N 15TH AVE,PHOENIX,AZ,85007,https://www.phoenix.gov/parks/parks/wedding-locations-in-phoenix-parks
-112.0658413,33.44918812,Thomas House,609 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0656617,33.44958686,Teeter House,622 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0654158,33.44958715,Silva House,628 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0656949,33.44983417,Teeter Carriage House,618 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0660063,33.44980631,Heritage and Science Park,115 N 6TH ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage
-112.0660066,33.44998496,Burgess Carriage House,127 N 6TH ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-111.9555175,33.44881829,Phoenix Municipal Stadium,5999 E VAN BUREN ST,PHOENIX,AZ,85008,https://www.phoenix.gov/parkssite/Pages/sportsphxmuni.aspx
-111.9462785,33.46797707,Papago Sports Complex,1802 N 64TH ST,PHOENIX,AZ,85008,https://www.phoenix.gov/parkssite/Pages/sportspapagoball.aspx
-111.9717131,33.44816628,Tovrea Castle,5041 E VAN BUREN ST,PHOENIX,AZ,85008,https://www.phoenix.gov/parks/arts-culture-history/tovrea-castle
-112.1330651,33.45985717,Falcon Park,3402 W ROOSEVELT ST,PHOENIX,AZ,85009,https://www.phoenix.gov/parks/parks/alphabetical/f-parks
-112.0553081,33.46821639,Coronado Park,1717 N 12TH ST,PHOENIX,AZ,85006,https://www.phoenix.gov/parks/parks/alphabetical/c-parks
-112.0879725,33.47467821,Enchanted Island,1202 W ENCANTO BLVD,PHOENIX,AZ,85007,http://www.enchantedisland.com/
-112.0744579,33.44768234,Patriots Square Park,1 W WASHINGTON ST,PHOENIX,AZ,85003,https://www.phoenix.gov/parks/parks/alphabetical/p-parks
-112.0745999,33.46088538,Irish Cultural Center,1106 N CENTRAL AVE,PHOENIX,AZ,85004,http://www.azirish.org/
-112.0659731,33.44958648,Stevens House,602 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.065842,33.44958664,Stevens-Haustgen House,614 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0656446,33.44918836,Machine Shop,623 E ADAMS ST,PHOENIX,AZ,85004,https://www.phoenix.gov/parks/parks/alphabetical/h-parks/heritage/historic-buildings
-112.0531366,33.39871748,Peace Park,5221 S 13TH PL,PHOENIX,AZ,85040,https://www.phoenix.gov/parks/parks/alphabetical/p-parks
-112.2879303,33.50683597,Dust Devil Park,10645 W CAMELBACK RD,PHOENIX,AZ,85037,https://www.phoenix.gov/parks/parks/alphabetical/d-parks
-112.0877163,33.45276026,University Park,1002 W VAN BUREN ST,PHOENIX,AZ,85007,https://www.phoenix.gov/parks/parks/alphabetical/u-parks
-112.0910852,33.46833612,Valley Garden Center,1809 N 15TH AVE,PHOENIX,AZ,85007,http://www.valleygardencenter.org/
-112.1052633,33.44035335,Sherman Parkway Park,2124 W SHERMAN ST,PHOENIX,AZ,85009,https://www.phoenix.gov/parks/parks/alphabetical/s-parks
-112.0871771,33.50389442,Tawa Mini Park,4540 N 11TH AVE,PHOENIX,AZ,85013,https://www.phoenix.gov/parks/parks/alphabetical/t-parks
-112.1058913,33.53321965,Washington Park,6655 N 23RD AVE,PHOENIX,AZ,85015,https://www.phoenix.gov/parks/parks/alphabetical/w-parks
-111.9902994,33.50279708,Kachina Park,4304 E CAMPBELL AVE,PHOENIX,AZ,85018,https://www.phoenix.gov/parks/parks/alphabetical/k-parks
-111.9737283,33.52145069,Echo Canyon Recreation Area,5700 N ECHO CANYON PKWY,PHOENIX,AZ,85018,https://www.phoenix.gov/parks/trails/locations/camelback-mountain
