LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
OLNEY AVE: 27TH AVE - 21ST AVE,09-02-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
40TH ST: BASELINE RD - NANCY LN,08-14-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
19TH AVE: PINNACLE PEAK RD - WILLIAMS DR,08-14-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNION HILLS DR: 19TH AVE - 7TH AVE,08-19-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PINCHOT AVE: 34TH PL - 35TH ST,08-26-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
JEFFERSON ST: 16TH AVE - 17TH AVE,09-04-2019 - 09/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
DESERT FOOTHILLS PKWY: FRYE RD - GLENHAVEN DR,08-28-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
79TH AVE: WINSLOW AVE - GLOBE AVE,08-27-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
15TH AVE: WASHINGTON ST - JEFFERSON ST,08-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ADAMS ST: 15TH AVE - 18TH AVE,08-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 12TH AVE - 16TH AVE,08-26-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 34TH DR - 35TH AVE,08-29-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE: ROANOKE AVE - THOMAS RD,08-29-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 67TH AVE - 69TH AVE,08-29-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2896
JEFFERSON ST: 16TH AVE - 17TH AVE,09-04-2019 - 09/27/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
32ND ST: UNION HILLS DR - MICHIGAN AVE,09-05-2019 - 09/27/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
JEFFERSON ST: 1ST AVE - 2ND ST,09-19-2019 - 09/27/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
56TH ST: MAYO BLVD - DEER VALLEY DR,09-09-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
43RD AVE: VAN BUREN ST - BUCKEYE RD,09-09-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
BASELINE RD: 19TH AVE - 7TH AVE,09-09-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
DEER VALLEY DR: 40TH WAY - 46TH PL,09-17-2019 - 09/27/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
